CHR	start	end	id	AMOVA	n_clusters
1	9871110.0	9873940.0	rand	0.7179804957616477	3
1	1373959.0	1379262.0	rand	0.556607850656744	3
1	15466766.0	15474921.0	rand	0.7124154809901178	3
1	1500943.0	1505728.0	rand	0.2472531648391387	3
1	8697362.0	8702156.0	rand	0.8192478204721921	3
1	22105363.0	22108230.0	rand	0.4766854352567478	3
1	34187799.0	34191209.0	rand	0.5978153393184564	3
1	24792603.0	24795712.0	rand	0.5672006271124942	3
1	40965150.0	40970217.0	rand	0.72970777056323	3
1	12277793.0	12281421.0	rand	0.31646794315305155	3
1	26284586.0	26288657.0	rand	0.44745118096208947	3
1	42282759.0	42287558.0	rand	0.09430758614512028	3
1	36447795.0	36452981.0	rand	0.8138574535231833	3
1	26455860.0	26458701.0	rand	0.22346218583284472	3
1	35886558.0	35890679.0	rand	0.8707418012003191	3
1	13211444.0	13215749.0	rand	0.14541282476662534	3
1	3724867.0	3726607.0	rand	0.5047483675001637	3
1	40140100.0	40143559.0	rand	0.8498559872907195	3
1	10878025.0	10881121.0	rand	0.3948313792819043	3
1	37745738.0	37758971.0	rand	0.8478355267855429	3
1	6138955.0	6146089.0	rand	0.3966522963986563	3
1	9585997.0	9589342.0	rand	0.6647278231172972	3
1	26466386.0	26469010.0	rand	0.33754939573368925	3
1	16360277.0	16363023.0	rand	0.20217330096021582	3
1	130646.0	131904.0	rand	0.372031125963949	3
1	27538191.0	27542942.0	rand	0.7280727036987564	3
1	29219679.0	29222797.0	rand	0.658375598142671	3
1	37919329.0	37925758.0	rand	0.7764797494589345	3
1	24197223.0	24199169.0	rand	0.6041308314451497	3
1	37708137.0	37713463.0	rand	0.6963395009957677	3
1	31198951.0	31200979.0	rand	0.604717675525705	3
1	14758257.0	14768278.0	rand	0.4489716142311248	3
1	29063027.0	29066405.0	rand	0.5621339735306672	3
1	11612791.0	11618847.0	rand	0.49386904973512374	3
1	6801784.0	6804729.0	rand	0.5900837983145247	3
1	1498235.0	1504179.0	rand	0.2624788974210184	3
1	7125887.0	7128453.0	rand	0.42259892459582415	3
1	41188736.0	41193751.0	rand	0.6931511772470268	3
1	23589766.0	23591526.0	rand	0.3390489269543756	3
1	12287111.0	12288392.0	rand	0.5793781891336365	3
1	5831561.0	5834029.0	rand	0.23171823689630133	3
1	33278347.0	33283311.0	rand	0.6008530343259035	3
1	31768972.0	31774746.0	rand	0.3898378222595288	3
1	30841282.0	30846074.0	rand	0.5992093430146426	3
1	26930318.0	26938586.0	rand	0.7428580045599175	3
1	18498705.0	18501364.0	rand	0.4271676153570962	3
1	27363477.0	27367202.0	rand	0.7375160482730442	3
1	20460696.0	20463938.0	rand	0.2122867371581554	3
1	8675999.0	8678335.0	rand	0.8110871154453758	3
1	33326496.0	33328626.0	rand	0.5284093467901609	3
1	24076450.0	24078297.0	rand	0.4035686024426857	3
1	35096859.0	35101685.0	rand	0.7160458890742334	3
1	7468713.0	7471863.0	rand	0.8513165364346003	3
1	16555692.0	16557052.0	rand	0.47587341304969494	3
1	29486519.0	29493004.0	rand	0.6030441040793536	3
1	22361018.0	22364010.0	rand	0.49614794510407295	3
1	26053052.0	26058063.0	rand	0.22925773797552138	3
1	18804928.0	18818132.0	rand	0.17549327358883304	3
1	5242561.0	5248117.0	rand	0.7534635427598249	3
1	13683394.0	13771936.0	rand	0.49440557562019033	3
1	43132102.0	43136019.0	rand	0.5297702081540967	3
1	39119815.0	39129854.0	rand	0.44975747764792423	3
1	29618383.0	29623463.0	rand	0.5942361303259284	3
1	139728.0	143323.0	rand	0.43003188675576676	3
1	6395602.0	6398052.0	rand	0.3846587883945082	3
1	2778068.0	2787957.0	rand	0.13868052058207384	3
1	15830486.0	15836948.0	rand	0.7195052646201894	3
1	38639832.0	38644164.0	rand	0.7622390875445441	3
1	8689113.0	8692966.0	rand	0.8250167925955817	3
1	20331738.0	20333552.0	rand	0.2324399812103761	3
1	35487963.0	35489710.0	rand	0.8220538192430036	3
1	12287197.0	12288444.0	rand	0.5889309132247121	3
1	28599774.0	28605046.0	rand	0.444628163491398	3
1	29781388.0	29783253.0	rand	0.3508777372184932	3
1	36958949.0	36963903.0	rand	0.8002089849701509	3
1	15563239.0	15566796.0	rand	0.5016286936395543	3
1	6972392.0	6975321.0	rand	0.6802311886786879	3
1	34319594.0	34322266.0	rand	0.40076809163440386	3
1	41141483.0	41144372.0	rand	0.6509447023892155	3
1	24995538.0	25000167.0	rand	0.5419421175610357	3
1	33466094.0	33467573.0	rand	0.6957835440461669	3
1	20266493.0	20269387.0	rand	0.21388271072401582	3
1	24884727.0	24886694.0	rand	0.6987700004958632	3
1	14060796.0	14062321.0	rand	0.5153386144039277	3
1	3317501.0	3319089.0	rand	0.48711643746307576	3
1	1559381.0	1566464.0	rand	0.3049362762547712	3
2	35784449.0	35788937.0	rand	0.7823570629618912	3
2	29483778.0	29486744.0	rand	0.5855724931320722	3
2	30016771.0	30021618.0	rand	0.8187973237022352	3
2	10881541.0	10883964.0	rand	0.23562889198289946	3
2	9614342.0	9617403.0	rand	0.3644578841029824	3
2	25896460.0	25899723.0	rand	0.7856639593962939	3
2	10157072.0	10163124.0	rand	0.35146413278678945	3
2	30149908.0	30152577.0	rand	0.7312187768664612	3
2	24977430.0	24980289.0	rand	0.5108493443014224	3
2	28271641.0	28275256.0	rand	0.6798552916311027	3
2	23726111.0	23730187.0	rand	0.28369812237781644	3
2	19644705.0	19653585.0	rand	0.6352595302097481	3
2	22348834.0	22352807.0	rand	0.6438682504292139	3
2	6571043.0	6573853.0	rand	0.33482379240636645	3
2	17871652.0	17877593.0	rand	0.4451166041317132	3
2	30990629.0	30993300.0	rand	0.6917871420078648	3
2	2789927.0	2793171.0	rand	0.36152000939219686	3
2	28638248.0	28642881.0	rand	0.08646179461897589	3
2	26572331.0	26575634.0	rand	0.6000676007172404	3
2	5939761.0	5942496.0	rand	0.7473810303134352	3
2	18228530.0	18231555.0	rand	0.49639801559393115	3
2	24095539.0	24097166.0	rand	0.4116016755039881	3
2	30680373.0	30683616.0	rand	0.5349627699431309	3
2	35299398.0	35304393.0	rand	0.5493899692867097	3
2	22856253.0	22860899.0	rand	0.689363889607057	3
2	34292542.0	34297002.0	rand	0.5821995899254558	3
2	18623551.0	18628372.0	rand	0.3461148497686201	3
2	30501446.0	30505276.0	rand	0.6074164785708203	3
2	28341004.0	28345538.0	rand	0.6471793368404254	3
2	1876044.0	1878843.0	rand	0.054262897210470756	3
2	19073872.0	19076596.0	rand	0.3813281183569027	3
2	521556.0	531605.0	rand	0.2041211371527672	3
2	1583193.0	1587911.0	rand	0.1881557574645615	3
2	25999452.0	26009771.0	rand	0.6840584547421689	3
2	17843552.0	17844778.0	rand	0.35706581240209156	3
2	10435179.0	10436583.0	rand	0.2865316486883262	3
2	14376293.0	14377936.0	rand	0.7092885601183746	3
2	19547238.0	19550718.0	rand	0.31166909918703695	3
2	25483367.0	25488606.0	rand	0.17472218717106316	3
2	21092967.0	21097500.0	rand	0.7626314853110778	3
2	3380076.0	3385354.0	rand	0.5065966608066951	3
2	22596462.0	22598730.0	rand	0.7685058834817962	3
2	4431471.0	4434740.0	rand	0.3730624767568456	3
2	17039217.0	17047330.0	rand	0.6169845194886114	3
2	14161470.0	14164892.0	rand	0.838241946972697	3
2	16266772.0	16272302.0	rand	0.6330669209708646	3
2	20233340.0	20234551.0	rand	0.19859142719175565	3
2	25692285.0	25694491.0	rand	0.3694386271257495	3
2	5586814.0	5590407.0	rand	0.5110047152205413	3
2	5559171.0	5562902.0	rand	0.6319735419938343	3
2	3782038.0	3788225.0	rand	0.5001391858439056	3
2	6811275.0	6813475.0	rand	0.5646982593726557	3
2	27395727.0	27398934.0	rand	0.747013290847949	3
2	30507157.0	30510413.0	rand	0.6542853234806217	3
2	10935958.0	10936971.0	rand	0.2556400681685748	3
2	34603159.0	34608119.0	rand	0.6907224712635609	3
2	19368601.0	19371566.0	rand	0.6062226000655367	3
2	20841371.0	20844948.0	rand	0.6549847713821864	3
2	18355356.0	18359403.0	rand	0.3379911034271375	3
2	20781728.0	20788770.0	rand	0.692507620365858	3
2	35040674.0	35045571.0	rand	0.42063585030994793	3
2	19148614.0	19152400.0	rand	0.3392373282861892	3
2	31178918.0	31186151.0	rand	0.5759204562708358	3
2	29226407.0	29230870.0	rand	0.5058450863322811	3
2	18271400.0	18285022.0	rand	0.48194558758276845	3
2	33668508.0	33675994.0	rand	0.6148436157975284	3
2	29985962.0	29987153.0	rand	0.9268678629533533	3
2	27134891.0	27137283.0	rand	0.8399774439157663	3
2	33068204.0	33074723.0	rand	0.8231011082479032	3
2	5357750.0	5362820.0	rand	0.6950998120970622	3
2	25807543.0	25811056.0	rand	0.7479805084056336	3
2	4570555.0	4575658.0	rand	0.3926272256373505	3
2	21581756.0	21587068.0	rand	0.7590976676171242	3
2	11042208.0	11053478.0	rand	0.2584819440589359	3
2	2239687.0	2242871.0	rand	0.5300040968858212	3
2	3939785.0	3947776.0	rand	0.3503094186801985	3
2	34670800.0	34675019.0	rand	0.6135126740349002	3
2	19232210.0	19235444.0	rand	0.5358921449824569	3
2	28368345.0	28370500.0	rand	0.694075463719155	3
2	5432488.0	5434392.0	rand	0.6620555040332365	3
2	16699102.0	16718060.0	rand	0.5690151309798251	3
2	24148133.0	24150451.0	rand	0.21070716292866046	3
2	22962658.0	22964939.0	rand	0.40052788875739065	3
2	24512740.0	24514192.0	rand	0.0724039315487333	3
2	17134568.0	17136346.0	rand	0.6799447672077575	3
2	35309863.0	35311654.0	rand	0.6245056156244778	3
2	27768046.0	27772167.0	rand	0.871571212806234	3
2	17170813.0	17173266.0	rand	0.6723799017064637	3
2	6217968.0	6220777.0	rand	0.8163853088305898	3
2	1831921.0	1833629.0	rand	0.5283683399530857	3
